HA;A;A;A;A;A;A;A;A;A;A;A;A;A
-3814430640;-758914173;-1916614515;-1017928109;-195544389;-3987812650;-3514407230;-2184611867;-1382943965;-4183893647;-190627813;-1866981204;-4203276833;-3334996778
-2211322289;-2817414220;-3689297735;-4293482601;-2895418368;-3622201465;-2875985066;-3743826363;-551131273;-1398498529;-2924198688;-3774440713;-1416660347;-719838362
-3119368281;-1584069377;-122407937;-3407936659;-3421742655;-264399084;-1967877766;-2834577703;-2854467130;-385429533;-2844425538;-3530503254;-3963882956;-3523053353
-1694620978;-3517197227;-2335101219;-1678552808;-3022971158;-637675411;-4241459054;-780450976;-2808112414;-991173078;-821959791;-3030179872;-1657124673;-3950512532
-3504740070;-2020232046;-1915089984;-2288401040;-3471291736;-2340448409;-2557736602;-2810144960;-3959510330;-1667982198;-3356761805;-618643233;-877585342;-4097920617
-3418158519;-3228220128;-3378037817;-3895134169;-882513742;-644778423;-42152212;-1388142793;-3474723732;-3561706269;-897938719;-334960704;-1096485860;-193150095
-1848964643;-3892499080;-2628155074;-4099976619;-913232546;-2677140932;-1177974628;-3317792848;-3471615929;-1536023465;-769770741;-1994042380;-4189618983;-4075266679
-2971421767;-1376795396;-1065444263;-1542802084;-891431227;-2341856678;-1751184787;-52781775;-2518987460;-865444412;-4166096434;-2108623653;-1047849557;-874509595
-3662496962;-1654402227;-1057063141;-1934125175;-726118852;-301041750;-1488561628;-4019343160;-3779043638;-1424482949;-4278913404;-1032078737;-4283413231;-1979777397
-2993701804;-1668593151;-570176706;-4221705328;-2029793337;-1406490749;-3581861960;-2503497103;-2548873434;-153641100;-964431028;-3378427252;-2212303385;-2551021258
-35914451;-702139299;-2306134510;-403033958;-2242818297;-2346537157;-2601067647;-2200781683;-2540505633;-2877257110;-4086648078;-4105127845;-2899417229;-2940588473
-539247367;-3914542841;-425932280;-487702090;-3798542018;-237390428;-2689585206;-1473298981;-2360016039;-2721509776;-238654610;-1574139724;-2789555969;-3802324979
-1989348376;-1732479461;-3239752431;-4171616180;-2454073018;-273384580;-3276662235;-3079589673;-2276408581;-3932768196;-2748850961;-3974029012;-2462959055;-400019312
-469443938;-942146670;-2270520118;-3030911379;-2883872162;-3417267391;-2073133560;-2490878828;-13237998;-2408560382;-2753619511;-2209246754;-2541738351;-4185684811
